age,gender,income,credit_score,loan_amount,loan_approval
46-60,Female,22195.748250650202,746.6619792521711,22960.039333982233,1
36-45,Male,52387.917257401394,611.9741265854249,12241.009084485924,0
36-45,Female,74620.98127167526,585.7822627020067,13506.445969070945,0
26-35,Male,46143.70023754443,805.4061743064506,16339.211234545859,1
18-25,Male,35411.120408398965,613.8899815134926,28045.95525827261,0
46-60,Female,,662.2822765800281,7780.8868219035785,0
46-60,Female,56855.52073833694,686.1058259794729,9050.20331317082,1
36-45,Female,46873.82407156046,559.0645504863348,7823.464816817895,0
26-35,Male,61141.611985439566,748.8387015602456,10241.893842875214,1
26-35,Female,223761.17319844983,700.9695232328982,41814.03829316321,1
36-45,Female,106590.68721007218,774.6707209504625,21124.319854362275,1
46-60,Male,107075.21753489898,595.6622450225519,5405.26200719388,1
46-60,Male,74441.81998645337,657.9300633980928,8263.821637778125,1
36-45,Male,65071.545027378685,653.1484603995357,18001.56143349114,1
36-45,Male,18069.105055693195,671.1110795480017,6469.10971005848,1
18-25,Female,42638.36981564298,533.6308201138271,7478.054677923567,0
26-35,Female,47085.142924596694,658.8669102953778,39181.803945177824,0
46-60,Female,23448.31621214108,535.8828870861004,8178.790002670794,0
36-45,Female,33566.77793544158,678.6667256957537,28673.638280267478,0
18-25,Male,22238.53256812735,479.70807003851843,36470.48388067928,0
26-35,Female,58737.76072108363,501.8730532567531,7429.622486483903,0
36-45,Male,90163.7720767463,715.4838973151999,6555.30519844251,0
18-25,Female,104129.15257145584,606.2529235844174,10711.726241670945,0
26-35,Male,73673.04199749825,570.9713541094208,5592.030977235161,1
36-45,Female,36986.26214866853,751.6676496860439,14718.008673550295,1
36-45,Male,22787.500039948787,676.2100973862732,11333.049500208059,1
36-45,Male,,719.7672156427027,17826.9032309779,1
26-35,Female,31745.577756899038,636.7006342143336,40845.61558822303,0
36-45,Male,,850.0,25693.362900109456,1
26-35,Female,55277.74973866509,601.6388911552164,19759.542542089104,0
26-35,Male,36059.22090251878,789.5596439487911,2771.5479494872125,1
36-45,Female,70932.77998829044,645.090716792007,19047.683758494746,1
36-45,Male,53309.1491143367,517.6391684069804,53002.91168953479,0
46-60,Male,60190.68324035202,688.6278996598487,1201.8075413779814,0
36-45,Male,105886.73629930391,675.1810049164131,23190.686529958108,1
36-45,Male,33186.02501153709,565.8942548608616,11760.634101503212,0
18-25,Male,73817.58705277789,576.2224578292228,6769.374695321561,0
26-35,Male,59457.28209853837,648.0241885532006,25359.35227782016,0
26-35,Male,50678.491029523175,,52457.82122747559,0
26-35,Male,93211.66561958434,452.34693736964795,24839.355336411576,1
60+,Female,92921.19778314518,734.2497162019042,9927.326031869094,1
26-35,Female,37300.223665416284,610.4401620948018,6280.621003452747,0
46-60,Male,54661.76273629629,543.460201248146,14998.449484351479,1
36-45,Female,68913.39437938675,725.2853241161545,26863.813419098587,0
36-45,Female,52234.403412694584,648.1105616465235,9802.155397665429,0
36-45,Male,80218.5983137348,747.2932621425804,10590.298304209917,1
36-45,Female,68912.71680300773,685.0361810383804,127720.58151584817,0
26-35,Male,149683.84072282657,649.8788397641563,31663.553190087416,1
26-35,Female,27857.581430764396,637.7816044015875,33526.885316801985,1
36-45,Male,56318.70545993732,688.617020844491,4153.768507008504,1
26-35,Female,38015.48076283071,616.9174992952536,7587.436426102203,0
18-25,Female,80987.79373906179,581.79419290028,14182.233688658913,0
36-45,Male,26673.18559639368,698.7927298123715,5997.45177416463,1
26-35,Male,71193.46824874466,638.4409726844457,48065.398874417755,1
46-60,Female,43694.424377405085,652.6854118455204,41284.80713431099,1
60+,Male,,737.1503868923686,8718.162132720356,1
46-60,Female,29049.33580692894,640.8898713811408,55666.559929008734,0
26-35,Female,47451.43409644571,651.2027140433432,13314.358557017715,1
18-25,Female,102975.90060693385,602.0280390839255,106033.64982656452,0
46-60,Female,59124.79498093116,,14999.151389040813,1
26-35,Female,81948.00247385843,677.986233014407,21182.998900142247,1
60+,Female,137629.5467864718,722.0620105432447,40942.45212234444,1
60+,Male,68314.53215579975,603.66969303945,37127.257407522506,1
46-60,Male,45279.0718189485,613.3746424327851,20102.222355965405,0
26-35,Male,75631.34613078566,713.3709919316375,11933.295871368182,1
26-35,Female,45608.61608301961,670.177040269029,20156.98505170004,1
46-60,Female,46527.02745670063,577.5025499045844,6953.863354764816,0
26-35,Male,,754.5243254187601,15088.784147025968,1
26-35,Female,95142.28106173534,514.1239545279799,5500.278322337616,0
36-45,Male,49365.0869876108,712.7427802611002,3214.074378086113,1
46-60,Male,65581.51311261494,548.7830371201443,13909.695741469095,0
36-45,Female,35668.3505625888,800.8630813188422,36673.96246154805,1
36-45,Male,74456.75863546731,526.4320218475501,28019.15642537016,0
18-25,Female,40905.891615374734,742.1800521498199,12512.33408279797,0
36-45,Male,55778.60428849499,643.4692511991004,54046.05100658538,1
60+,Female,92866.01325536837,620.6717944129005,8473.940310508684,1
26-35,Female,88909.97821714876,664.831732517421,2880.5423476627116,0
36-45,Male,59218.244868739144,700.5520271326251,2331.620887657166,1
46-60,Female,24734.009630052147,577.6479598135304,5192.898237302693,0
36-45,Female,267374.4221084955,584.7369819865143,25675.687067392246,1
36-45,Male,143333.51767945892,701.9683892090309,8039.786870891684,1
36-45,Male,85934.22116889768,513.4125637080319,19317.504127727207,1
26-35,Female,,603.2616725446331,49862.61022883297,0
26-35,Male,56568.29335476858,850.0,5540.956564661362,1
46-60,Male,45628.590565381055,572.5589628328576,19590.495133675373,0
46-60,Male,112637.2739373164,741.8242233407802,20561.392751871568,1
46-60,Male,,603.123938502895,6710.37160509586,1
46-60,Female,40453.88938706394,,39472.8645025906,0
36-45,Male,47316.88324522669,702.3484552476974,10612.993757420329,1
36-45,Male,104882.3024399048,740.3165388146358,9828.067632877826,1
36-45,Male,133258.8722645318,633.979693854978,72351.43563176143,1
36-45,Male,128561.90030205139,809.1107711003883,20296.69601483297,1
36-45,Female,87423.20523522668,602.8530748331856,28007.635257381025,0
36-45,Male,52769.44270947224,668.7376330879648,39494.40697197776,0
46-60,Female,11840.0494782491,669.6221545774087,7939.620843813215,0
26-35,Male,69465.11839076946,560.2425504040468,36310.305485831974,1
26-35,Male,59819.41905455064,627.1302196016703,8941.733096084785,0
18-25,Female,64214.93199079776,662.9210799390726,8641.239295830048,0
36-45,Male,61509.60826338321,615.4303165496465,10747.19449357559,1
18-25,Female,,845.2739172365227,8122.133395181097,1
26-35,Female,79118.67966666324,582.9101061120375,25789.562792292236,0
36-45,Male,82134.06720143864,744.3539574512342,16543.830372059332,1
26-35,Male,,718.516785051903,9018.384259081828,1
36-45,Female,96113.83044132421,648.8910292396583,22916.30687010498,1
18-25,Male,80985.53378525744,580.7832756918202,10719.867238619017,0
18-25,Male,48775.591582843634,588.5395743686584,10275.767204773845,0
46-60,Male,57790.60949874837,608.5626160626792,13890.31492005077,1
26-35,Male,62665.25545947321,507.14069744429895,19356.204335010694,0
26-35,Female,63186.73851878699,569.7227659360567,18249.229145246565,0
36-45,Male,98627.83746605861,531.4018787709086,9990.607236180318,0
36-45,Male,82605.73404339755,757.6700002542174,26309.59461646418,1
26-35,Female,169172.0832256035,699.4769913910575,11182.269014756472,0
36-45,Male,180454.5979013711,712.8779279092369,7911.023211632927,1
18-25,Male,62306.7341548365,697.1065561233559,4128.141897587216,0
18-25,Female,8792.657047957046,663.3574098667331,29335.180805047774,0
36-45,Male,111125.5845465329,766.8544265703309,13492.807719703018,1
36-45,Female,45698.09223044636,601.138987541461,15814.743025238682,1
36-45,Female,40105.0699946547,658.5335724293636,30842.29781616979,0
36-45,Male,49058.92288445479,709.7647062259299,9118.631479367114,1
60+,Female,47890.789389637655,544.3032614515097,4449.204527075859,0
36-45,Male,81318.99467229708,850.0,14126.737563188104,1
26-35,Male,27454.410567352435,652.2852610222069,17092.058880337707,1
36-45,Female,34931.33747097027,661.3591560460475,10826.160439421019,1
26-35,Female,71081.27908403336,750.5502425339937,43433.6629074167,1
26-35,Male,81754.16334306609,723.1964266408179,1828.162687921524,1
18-25,Female,82517.92508402484,653.0462415517168,32729.9326687184,0
18-25,Female,,660.4103550478434,25157.791287394874,0
60+,Female,36712.30174789569,529.6681175241617,19252.89315444513,0
46-60,Female,46475.593513539185,605.4827377720019,926.374666646981,0
36-45,Male,67503.61129811761,,37313.520752668934,0
26-35,Male,125836.49501522635,685.511427123431,5877.299763316405,1
26-35,Female,21510.176056905282,747.693260000327,8900.354775071128,1
26-35,Male,53617.75925259013,640.3599153421341,11655.411623384764,1
26-35,Female,30750.476820968397,539.0170789255307,18507.557251269143,0
36-45,Male,26209.53779087766,734.5384344620543,22282.177747226066,1
36-45,Male,97098.22001727449,764.8871476945612,27289.913484097953,1
36-45,Male,78614.5666238447,721.8595658284984,25659.850399895247,1
26-35,Female,74960.51280771119,636.9093063314007,16355.863949492747,1
60+,Male,94893.73066397694,733.5508841501263,18633.906443312935,1
36-45,Female,47105.28828980195,850.0,5582.5281561237025,1
36-45,Male,48227.334342255395,659.2121851552381,7325.953195844835,1
36-45,Male,178593.09919662483,545.06106462039,27347.165896154453,1
26-35,Male,52929.41290465824,603.0971960358279,26102.00967485091,1
26-35,Female,86471.14526577441,700.038080024324,23838.078858925353,0
26-35,Male,60065.4914734328,521.6156551281549,8852.600978287806,0
36-45,Male,23762.660353790667,663.5522459929656,27678.01529954687,1
18-25,Male,21540.39951446372,680.4269320252706,5276.426973241802,0
26-35,Male,44824.39897055915,772.8097391850122,31630.839205328288,1
18-25,Female,101524.01249960497,754.8155884843441,10843.307615189218,0
18-25,Female,88800.3462618665,719.1667833401417,51397.06378841178,0
46-60,Male,94564.6098624442,476.9856791588376,3955.436838629992,1
36-45,Female,36551.47830758085,723.684250243834,54760.43574525767,1
26-35,Female,,706.4410708848197,10004.882838648231,1
18-25,Male,36958.58904756018,670.4755501662677,9861.727106520953,0
26-35,Female,66596.8261065432,511.58222990836117,15613.185415576902,0
26-35,Female,59565.02518484204,587.8580872650351,7649.051022347191,0
26-35,Male,54888.71714231093,556.6541784372747,12608.630250089089,0
26-35,Male,116925.94552411628,488.79932483943276,7404.913073818107,0
26-35,Female,42084.91912412721,649.7667878868165,7624.707005404795,1
36-45,Female,30491.321226236898,586.1742302845777,19722.3691469956,0
36-45,Male,60475.75035577581,850.0,6494.738092148705,1
18-25,Male,49025.0481323857,636.4982448449672,7226.026738330769,0
26-35,Male,324062.42939824105,753.5002524692768,4454.931662151572,1
36-45,Female,83973.26372897392,524.472078024542,8927.176621117136,0
36-45,Female,48792.39367566334,607.5928331196104,38150.02239659486,0
46-60,Female,35310.80248126964,657.7518300827452,6790.318236864957,1
36-45,Male,,577.3476841113863,7440.50043140096,0
26-35,Female,35860.45578249813,616.2239452156205,15601.737374321183,1
18-25,Female,63415.96267097997,632.5639275005169,9930.46767350979,0
36-45,Male,122230.55382857205,631.2873611644085,79421.4329081276,1
18-25,Male,104908.57873809009,798.4094858428277,11730.852644940154,0
36-45,Female,67140.81543966629,680.2581028345209,17468.851801819783,0
46-60,Female,50940.63260819192,688.3608450353042,28424.735910825777,0
36-45,Male,68487.476190969,693.1723819476057,27991.671337857504,1
26-35,Female,46197.50176502782,699.010110186969,16100.893804610154,0
36-45,Male,141376.524661751,643.3690412900107,11744.003051055215,1
26-35,Female,54469.97488850456,624.3402902816923,67455.46147678109,0
36-45,Female,57344.43435618347,663.3452847614622,12334.947586045932,1
46-60,Female,19773.31909467793,742.5443159130778,9382.935221560128,1
26-35,Female,54300.166745596885,740.0990550749107,7969.051925910497,1
60+,Female,90966.08911696267,630.7681219449271,3356.175759152843,1
46-60,Male,35106.3993844323,711.4274955734489,25778.4100751747,0
26-35,Female,41136.03715602336,634.4332269568266,2041.7147190301143,0
18-25,Male,88996.78361169773,652.7096439548195,13298.702157107991,0
26-35,Male,28614.5723061735,612.1181294756642,11340.22584176388,1
18-25,Male,101610.3321932048,635.4683888875013,80175.41123657304,0
18-25,Male,45886.58350308739,757.3064055639744,3086.148082503868,1
36-45,Female,49301.800948268225,657.3936917871389,6497.140073789253,0
18-25,Male,34134.394709374545,,11981.545057019383,0
26-35,Female,72332.08822405036,534.2225776593633,11406.932117108106,0
46-60,Female,204830.07101866763,625.2604873893816,8607.285952550359,0
18-25,Male,88499.18480673955,630.6948077004217,12521.590489374747,1
46-60,Female,38865.31043019646,583.6685211645276,4877.313411913897,0
26-35,Male,105641.89375496852,651.733232936285,17778.66288987672,1
26-35,Male,51106.15540868379,615.6654167817876,2085.599715771626,1
36-45,Female,119043.29038807639,656.3996684194866,13087.129107068236,0
36-45,Male,89620.39547081487,659.7202407855148,8264.41844823153,1
46-60,Male,13744.983735067119,573.5396513741885,30122.580559958988,0
36-45,Female,36241.501213860756,618.1038574013448,54407.04110287883,0
46-60,Female,,656.1899426208666,10251.28420488107,1
26-35,Male,64590.88857371253,744.743954492538,40642.95305279486,1
26-35,Female,35886.69977928185,670.5375338236593,10374.508552006462,1
36-45,Female,43617.130007359985,597.0451856066057,6167.807970041298,0
46-60,Female,23083.692387538475,681.9203807395082,53999.11333819196,0
60+,Male,57286.10377280511,786.6039111457409,20264.404556676065,1
26-35,Female,180835.82655018332,723.3365178071215,13407.249110893998,1
26-35,Female,89542.32480834589,693.8021224348496,23149.812961824646,1
36-45,Female,179012.06782984253,708.0472140385857,16636.794009334582,1
26-35,Female,93078.50398174554,765.1963233142905,12640.035467206399,1
46-60,Male,100081.45382623766,736.0501435214128,4623.2450909831305,0
46-60,Male,160658.9933308427,695.3408304894126,10759.782397934412,1
26-35,Male,72303.77571478968,735.4913775672068,21995.74575276446,1
36-45,Male,54523.459591095954,563.4679122988751,12109.951837456123,0
36-45,Female,100340.90911188739,529.8187798127775,27497.781533853547,1
26-35,Male,123861.6032627491,662.5678920515064,18159.044208750078,1
46-60,Female,47099.500678561875,655.4944567720431,6617.619191714193,0
36-45,Female,41740.011612019276,606.4871957189393,4650.185702168978,0
46-60,Male,64178.787109042096,716.0682135862168,11781.163248206663,1
26-35,Male,90739.62617446225,500.9709130839011,8783.385824578001,1
46-60,Female,89236.50862329113,607.2182195153757,17484.279601365746,1
26-35,Female,29375.4978652239,611.2035564097908,7521.266896170563,0
18-25,Male,155718.16746781068,519.0958571920432,8165.605326478219,1
46-60,Male,43452.23358762704,769.5784805815443,31022.119896887543,1
18-25,Female,52442.23208678078,541.2638985069342,15041.410478207701,0
26-35,Female,38126.80358758437,602.9327954153852,7614.566584269222,0
60+,Male,230767.13742434757,722.6383806244107,13549.615465672734,1
60+,Female,67577.83577675487,701.6836274742985,40260.615789765776,0
36-45,Male,39124.825182721426,561.3460242812203,16899.33161329309,0
36-45,Male,92222.71769156092,704.5991367408509,21468.899833834777,1
26-35,Male,87953.88215376256,673.1827582926577,7318.8783971193425,1
26-35,Male,54509.83854988994,836.6428449689174,30367.72062473552,1
26-35,Male,91153.78975714852,682.3152332854644,85347.10498977001,1
36-45,Male,39630.48877565959,638.7006543145175,7092.732065479338,0
36-45,Male,46795.431635982975,581.4798434304462,5189.978432182252,1
36-45,Male,21914.234300297772,590.4605306435543,15374.011456079357,1
36-45,Male,30884.955209376854,583.9384723625474,26914.058230494727,1
18-25,Female,147829.58000672757,759.6879051129538,12417.825533726833,1
26-35,Male,136041.37057453702,651.4375932013177,5752.759220717508,1
18-25,Male,61876.412279176846,695.2197699179784,12248.180454030422,0
36-45,Female,137511.89804684315,771.1398079984709,21557.38693973464,1
26-35,Female,,461.32286862340277,9646.732523968905,0
46-60,Male,53013.127403108854,752.30990117603,21715.98738688605,1
26-35,Female,61590.0323687371,654.4317529426668,33920.28961990058,1
26-35,Female,56248.75589153316,684.8038697312355,16190.57400953972,1
26-35,Female,53766.282923223465,583.7277422601398,13064.341606210983,0
